[2017-06-07 10:20:48] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:20:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/8c16debc03483540bca4cca63a7dae16c45a2460a8271b8f7ef42f6ff35a27b8/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:22:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/ad72e521cd8638c379f0e171fcc2c65c74efd304d8feff8ca17f997efeecad74/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:22:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/ad72e521cd8638c379f0e171fcc2c65c74efd304d8feff8ca17f997efeecad74/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:27:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 10:27:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 10:27:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:27:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/8c16debc03483540bca4cca63a7dae16c45a2460a8271b8f7ef42f6ff35a27b8/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:27:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 10:27:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 10:27:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/708066ce1ddf739561e641db43ffc402c59b359b53744078cd42f7056b71e7f3/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:27:41] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/8c16debc03483540bca4cca63a7dae16c45a2460a8271b8f7ef42f6ff35a27b8/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:51:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/ad72e521cd8638c379f0e171fcc2c65c74efd304d8feff8ca17f997efeecad74/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:51:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/ad72e521cd8638c379f0e171fcc2c65c74efd304d8feff8ca17f997efeecad74/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:03:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:03:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:06:11] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/carriers/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/website/3/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:06:11] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/carriers/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/website/3/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:08:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/carriers/website/3/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:08:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/carriers/website/3/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:08:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:08:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:08:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:08:53] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:12:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:12:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:12:30] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:12:30] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:12:30] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:12:32] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:15:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:15:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:15:17] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:15:19] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:16:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:16:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:16:38] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:16:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:18:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:18:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:18:10] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:18:10] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:18:10] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:18:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:20:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:20:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/system_config/save/section/dev/key/742567066fc4c5af6beea2b84d4395329f0e94964c86b0484eda6e6a5f4adcb4/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
